entity_id,legal_name,country,industry,incorporation_date,source_system,risk_rating
86,Johnson and Sons,Singapore,Asset Management,2015-10-05,PartnerFeed,Medium
87,"Watkins, Gonzalez and Medina",India,Insurance,2024-11-24,CRM,High
88,Dodson-Ellis,Japan,Banking,1998-05-24,RegSys,Low
89,Evans PLC,Switzerland,Technology,2004-09-20,CRM,High
90,Cummings LLC,Japan,Technology,2020-04-19,CRM,High
91,"Duran, Avila and Bauer",Japan,Asset Management,1997-03-11,ERP,Medium
92,Luna-Warner,France,Technology,2024-08-31,ERP,Low
93,Everett-Valdez,Switzerland,Technology,2008-08-23,RegSys,Medium
94,"Hall, Walker and Jones",Germany,Insurance,2000-04-12,PartnerFeed,High
95,Sexton-Richards,Switzerland,Technology,1999-02-27,PartnerFeed,High
96,Spencer-James,Germany,Insurance,1999-10-03,PartnerFeed,Medium
97,"Salazar, Jensen and Washington",United States,Asset Management,1997-03-22,RegSys,High
98,"Rodriguez, Jones and Clark",France,Asset Management,2004-05-06,ERP,Low
99,"Reed, Francis and Hoffman",India,Manufacturing,2002-04-27,ERP,Low
100,Ingram Ltd,Germany,Asset Management,2021-07-12,CRM,Low
101,Lawson-Mercado,France,Manufacturing,2022-02-15,CRM,Low
102,Porter Ltd,France,Manufacturing,2000-06-05,ERP,High
103,Fox-Ramirez,United States,Banking,2010-11-09,PartnerFeed,High
104,"Thomas, Smith and Strickland",United Kingdom,Manufacturing,2021-09-17,RegSys,Low
105,Caldwell-Murillo,Japan,Technology,2017-05-17,PartnerFeed,High
106,Torres-Sullivan,Germany,Insurance,2024-02-05,ERP,Low
107,"Bauer, Martin and Smith",Japan,Manufacturing,2017-08-18,CRM,High
108,Cole and Sons,India,Asset Management,2017-05-18,PartnerFeed,High
109,"Rose, Peterson and Mills",Switzerland,Asset Management,2000-12-10,CRM,Medium
110,Short PLC,Singapore,Banking,2018-10-16,CRM,High
111,"Dixon, Miller and Decker",Germany,Banking,2015-11-23,PartnerFeed,High
112,"Collins, Park and Combs",United Kingdom,Asset Management,2022-09-11,PartnerFeed,Low
113,"Merritt, Barnes and Morris",Japan,Asset Management,2001-09-30,CRM,Low
114,Odom PLC,United States,Asset Management,2002-04-26,RegSys,Medium
115,Henry LLC,India,Banking,2018-11-10,RegSys,Low
116,Randolph-Joseph,Switzerland,Insurance,2005-04-10,PartnerFeed,Medium
117,Owens Inc,France,Manufacturing,2000-08-09,PartnerFeed,Medium
118,Leach-Wallace,Singapore,Asset Management,2026-01-08,CRM,Low
119,Sanchez-Villa,Switzerland,Banking,2001-11-25,ERP,Medium
120,Ortega-Norton,Japan,Asset Management,1999-06-19,CRM,Medium
121,Burch-Jones,Germany,Insurance,2009-08-03,ERP,Medium
122,"Ortiz, Murray and Floyd",United States,Insurance,2013-01-29,CRM,High
123,Taylor-Adams,Singapore,Banking,2007-07-05,ERP,Medium
124,Farmer Ltd,France,Technology,2021-10-10,CRM,Low
125,Banks and Sons,United States,Technology,2017-04-15,CRM,Medium
126,Willis-Torres,Singapore,Technology,2011-07-01,CRM,Low
127,"Crawford, Suarez and Conway",Switzerland,Manufacturing,2012-09-27,RegSys,High
128,Miller-Peck,Singapore,Banking,2020-05-25,PartnerFeed,Medium
129,"Bates, Goodwin and Dudley",United Kingdom,Asset Management,2021-02-10,PartnerFeed,Low
130,Brewer Ltd,Singapore,Insurance,2012-12-28,ERP,Medium
131,Perkins-Scott,United Kingdom,Manufacturing,2022-02-07,RegSys,Medium
132,Cooper-Lewis,Germany,Asset Management,2015-04-18,PartnerFeed,Medium
133,Logan-Barrett,United Kingdom,Technology,2012-03-14,ERP,High
134,"Jacobson, Thompson and Garcia",India,Technology,2005-02-28,PartnerFeed,High
135,Reed and Sons,Germany,Banking,2022-05-07,RegSys,Medium
136,Hernandez LLC,Singapore,Technology,2009-11-26,RegSys,Low
137,Romero-Petty,India,Technology,2023-12-28,RegSys,Medium
138,"Rodgers, Johnson and Gonzalez",Singapore,Insurance,2021-05-20,RegSys,High
139,"Bray, Johnson and Smith",Switzerland,Banking,2003-04-03,CRM,Low
140,"Simmons, Steele and Webb",India,Insurance,2013-04-16,ERP,High
141,"Thompson, Haney and Stephens",Germany,Technology,2008-04-20,CRM,High
142,"Baldwin, Townsend and Schmidt",United Kingdom,Manufacturing,2008-12-05,ERP,Medium
143,Hall-Griffith,United Kingdom,Manufacturing,1997-10-30,ERP,High
144,"Davis, Adams and Werner",Germany,Banking,2011-08-12,CRM,High
145,Atkins-Kane,India,Banking,2024-01-08,RegSys,Low
146,Reed-Phelps,France,Technology,2008-09-24,RegSys,High
147,Wells Group,United Kingdom,Technology,2023-06-30,PartnerFeed,Medium
148,Scott LLC,United Kingdom,Manufacturing,2008-01-14,PartnerFeed,Low
149,Williams and Sons,India,Manufacturing,2017-02-08,ERP,Low
150,Hernandez Group,Japan,Manufacturing,2017-06-21,ERP,High
151,Lee LLC,Germany,Technology,2010-06-13,PartnerFeed,Medium
152,"Giles, Watson and Blake",Japan,Manufacturing,2009-08-18,ERP,Medium
153,Arnold-Harrison,Japan,Asset Management,2011-09-18,RegSys,Medium
154,Downs Ltd,Switzerland,Manufacturing,1999-12-03,CRM,Low
155,Hall Group,Germany,Asset Management,2022-11-17,CRM,Medium
156,Patterson-Terry,Switzerland,Banking,2004-11-24,PartnerFeed,Medium
157,"Little, Cross and Yoder",France,Asset Management,2013-10-01,PartnerFeed,Medium
158,Case PLC,France,Manufacturing,2012-07-04,CRM,High
159,"Mason, Lambert and Patrick",United Kingdom,Banking,2007-11-25,ERP,Medium
160,Lopez Group,France,Insurance,2000-10-08,RegSys,Medium
161,Gomez Ltd,Japan,Asset Management,2001-01-12,RegSys,Medium
162,Smith-Morgan,Germany,Banking,1998-01-13,ERP,Low
163,"Osborne, Reyes and Steele",United States,Manufacturing,2013-01-22,CRM,High
164,Edwards LLC,France,Technology,2019-07-02,ERP,Low
165,Smith-Solomon,Germany,Banking,2002-07-17,CRM,High
166,Green LLC,Japan,Technology,2014-12-23,CRM,Low
167,"Preston, Gaines and Wood",Switzerland,Banking,2009-04-14,CRM,Low
168,Nixon LLC,Switzerland,Manufacturing,2005-11-05,RegSys,Low
169,Griffith-Pugh,United States,Technology,2003-05-12,PartnerFeed,High
170,Black Group,United Kingdom,Banking,2021-06-23,ERP,Low
171,Adams PLC,India,Technology,2004-08-20,PartnerFeed,Low
172,"Wheeler, Mcdonald and Contreras",Switzerland,Banking,2013-03-24,PartnerFeed,Low
173,Franklin-Wilson,Switzerland,Banking,2024-09-22,RegSys,High
174,Baker-Ward,Japan,Banking,2003-02-11,RegSys,High
175,"Horne, Scott and Huff",India,Insurance,2024-05-19,PartnerFeed,Medium
176,Bell LLC,United States,Asset Management,2026-03-04,PartnerFeed,Low
177,"Garza, Beard and Flowers",France,Banking,2010-10-20,PartnerFeed,Low
178,"Ramsey, Kelly and Hickman",Switzerland,Insurance,2025-06-21,PartnerFeed,Medium
179,"Brown, Melendez and Hawkins",France,Technology,2020-05-25,PartnerFeed,High
180,"Solomon, Jones and Wyatt",United Kingdom,Technology,2006-12-16,CRM,Low
181,Johnson Inc,United States,Insurance,2018-02-21,PartnerFeed,Medium
182,Vaughn-Hernandez,France,Banking,2020-03-29,ERP,Medium
183,"Flowers, Armstrong and Murray",Singapore,Asset Management,1997-01-13,ERP,High
184,"Walker, Smith and Harrell",United States,Technology,2015-11-20,ERP,High
185,Mcdaniel and Sons,Germany,Asset Management,2013-01-02,CRM,Low
186,Cook-Brooks,Singapore,Asset Management,2020-11-08,PartnerFeed,High
187,Haynes Ltd,India,Banking,2008-01-16,PartnerFeed,Medium
188,"Fitzpatrick, Johnson and Long",United Kingdom,Banking,2024-11-22,ERP,Medium
189,Murray-Clements,India,Banking,2026-05-02,RegSys,Low
190,"Ray, Harris and Powell",Germany,Banking,2024-09-03,PartnerFeed,Low
191,Taylor-Miller,Japan,Insurance,2007-12-30,PartnerFeed,Low
192,Hartman and Sons,Switzerland,Asset Management,2020-09-18,CRM,High
193,Phillips-White,Germany,Insurance,2019-01-25,PartnerFeed,High
194,Burns Ltd,Switzerland,Insurance,2023-12-15,CRM,Medium
195,Weaver-Perry,Germany,Asset Management,1997-10-23,CRM,High
196,"Johnson, Peterson and Cohen",Switzerland,Asset Management,1997-11-30,CRM,Medium
197,"Faulkner, Soto and Green",Singapore,Manufacturing,2004-09-11,PartnerFeed,High
198,Miller LLC,India,Insurance,2016-06-02,PartnerFeed,Low
199,Riley Ltd,Switzerland,Insurance,2019-02-28,CRM,Medium
200,Neal-Wilson,Germany,Asset Management,2001-03-16,PartnerFeed,Medium
201,"King, Guzman and Hansen",India,Banking,2012-10-24,ERP,Medium
202,"Wilson, Brown and Salazar",Switzerland,Insurance,2016-08-31,CRM,High
203,Hodges Ltd,Singapore,Technology,2013-08-27,CRM,Low
204,Hanson-Richardson,India,Banking,2009-12-19,RegSys,Medium
205,"Scott, Atkins and Roberts",United Kingdom,Banking,2000-04-02,CRM,High
206,Franco-Lambert,Switzerland,Banking,2012-05-03,RegSys,Low
207,Thomas-Rosario,India,Manufacturing,1998-08-02,CRM,Medium
208,"Lopez, Bird and Rogers",India,Banking,2007-01-13,PartnerFeed,High
209,Taylor-Rodriguez,France,Insurance,2015-08-21,RegSys,Low
210,"Woodward, Gonzalez and Price",India,Technology,2007-03-24,ERP,Low
211,"Miller, Lewis and Campbell",United States,Manufacturing,2017-07-29,CRM,High
212,Hammond-Jacobs,Japan,Banking,2026-04-14,ERP,Low
213,"Horton, Morris and Kirk",Japan,Asset Management,2011-12-02,PartnerFeed,High
214,Wagner-Snyder,Germany,Asset Management,2006-04-16,ERP,High
215,Davis-Trevino,United Kingdom,Manufacturing,2009-02-27,RegSys,High
216,Woods-Davis,Singapore,Insurance,2011-05-20,CRM,Low
217,"Walker, Reese and Robbins",India,Technology,2016-07-26,CRM,Medium
218,Hill and Sons,United States,Banking,2008-12-26,CRM,High
219,Mccoy-Chen,Japan,Asset Management,2001-05-20,RegSys,Low
220,Copeland Group,India,Insurance,2007-01-24,ERP,Medium
221,Ponce PLC,United States,Manufacturing,2013-04-30,PartnerFeed,High
222,Palmer Group,India,Asset Management,2012-01-17,CRM,Low
223,Johnston-Cannon,Singapore,Technology,2023-09-18,PartnerFeed,Medium
224,"Sanchez, Burgess and Shelton",Switzerland,Asset Management,2019-07-12,PartnerFeed,Low
225,"Hodges, Lewis and Bond",United States,Manufacturing,2002-12-02,PartnerFeed,High
226,"Mathis, Cobb and Ramos",Switzerland,Asset Management,2021-06-08,RegSys,Medium
227,Sloan Group,Singapore,Manufacturing,2004-03-22,PartnerFeed,Medium
228,Martinez and Sons,Singapore,Asset Management,2019-12-20,CRM,Low
229,Clark PLC,India,Banking,2010-10-09,RegSys,High
230,"Davis, Campbell and Wilson",France,Asset Management,2013-11-17,ERP,High
231,"White, Miller and Martinez",Singapore,Insurance,2021-02-15,ERP,Low
232,Patel-Buchanan,Switzerland,Manufacturing,2001-01-16,CRM,Low
233,"Vargas, Reyes and King",Germany,Banking,2007-05-03,RegSys,Low
234,"Russell, Myers and Morris",United States,Technology,2005-05-07,RegSys,Medium
235,Davis LLC,United Kingdom,Technology,2024-11-07,ERP,Medium
236,Ball LLC,India,Insurance,2015-06-27,PartnerFeed,High
237,Estrada LLC,France,Manufacturing,1999-02-20,PartnerFeed,Low
238,"Hardy, Compton and Vasquez",France,Technology,2001-07-14,RegSys,Medium
239,"Garrison, Hall and Wise",France,Insurance,2009-11-21,PartnerFeed,High
240,George-Perry,Germany,Technology,2019-08-07,RegSys,Low
241,Smith-Watkins,France,Banking,2009-07-18,RegSys,Medium
242,"Singleton, Williams and Bolton",India,Insurance,2019-04-13,RegSys,Low
243,Davis Inc,United States,Technology,2018-07-12,ERP,Low
244,Bishop LLC,Switzerland,Manufacturing,2006-07-30,CRM,High
245,Jarvis Group,Switzerland,Insurance,2018-12-23,ERP,High
246,Keller Ltd,Singapore,Technology,2022-03-31,RegSys,High
247,"Bryant, Jenkins and Diaz",France,Manufacturing,2002-01-09,ERP,High
248,Garcia PLC,Singapore,Banking,2019-12-02,ERP,Low
249,"Rogers, Andrews and Spence",Switzerland,Asset Management,2018-09-09,ERP,High
250,Wade LLC,India,Technology,2013-06-26,ERP,Medium
251,Davis Inc,United States,Technology,2013-10-08,RegSys,Low
252,"Sanchez, Williams and Lee",Germany,Insurance,1997-05-24,PartnerFeed,Low
253,Dawson Group,Singapore,Technology,2006-08-19,RegSys,Low
254,"Hudson, Smith and Miller",Germany,Manufacturing,2026-04-22,PartnerFeed,Low
255,Rivera-Williams,United States,Insurance,2024-07-02,ERP,High
256,"Robertson, Hernandez and Kerr",United States,Manufacturing,2020-01-21,CRM,Medium
257,Perkins and Sons,Germany,Banking,2007-11-20,RegSys,Low
258,"Martin, Cantrell and Kane",France,Insurance,2009-09-03,RegSys,Medium
259,Robinson Group,France,Banking,2004-09-27,PartnerFeed,Medium
260,Anderson LLC,Singapore,Asset Management,2002-08-15,CRM,Medium
261,Farley LLC,United Kingdom,Technology,2011-06-02,CRM,Medium
262,Hart Inc,Singapore,Manufacturing,2012-03-29,RegSys,Medium
263,Henry-Holland,Japan,Insurance,2021-12-14,PartnerFeed,Medium
264,Morrison Inc,United Kingdom,Banking,2017-09-18,PartnerFeed,Low
265,Castillo-Lee,France,Asset Management,2009-01-07,RegSys,High
266,"Delgado, Banks and Lopez",Germany,Banking,2003-06-17,CRM,Low
267,Garcia-Taylor,Singapore,Insurance,2003-04-26,CRM,High
268,Holt-Castaneda,Japan,Banking,2020-04-23,ERP,Medium
269,"Barnes, Smith and Harper",Switzerland,Insurance,2022-02-19,ERP,Medium
270,"Ramos, Higgins and Moore",India,Banking,2016-06-29,PartnerFeed,Medium
271,Lewis LLC,Switzerland,Banking,2012-04-12,PartnerFeed,Low
272,Ford Ltd,India,Technology,2008-01-12,CRM,Low
273,Chambers-White,United States,Manufacturing,2011-04-28,ERP,High
274,Elliott Group,India,Technology,2023-12-06,ERP,Medium
275,"Anderson, Jones and Bruce",United States,Manufacturing,1998-06-22,PartnerFeed,Medium
276,"Brown, Davis and Whitaker",India,Technology,2016-12-06,PartnerFeed,Medium
277,Hansen-Oneill,Switzerland,Insurance,1999-02-17,ERP,High
278,Holden and Sons,Singapore,Asset Management,2009-06-26,ERP,High
279,"Long, Tucker and Mendoza",France,Insurance,2024-06-15,PartnerFeed,Medium
280,"Young, Miles and Campbell",Singapore,Asset Management,2010-10-30,ERP,Low
281,Brooks-Mcdaniel,United Kingdom,Banking,2023-06-05,RegSys,High
282,Holmes-Brown,Singapore,Insurance,2024-03-29,RegSys,Medium
283,Hale Group,India,Manufacturing,2001-12-06,RegSys,High
284,"Bartlett, Williams and Bates",Germany,Asset Management,2023-10-09,CRM,High
285,Thomas Inc,Switzerland,Technology,2016-12-29,CRM,Low
286,Wilson PLC,Switzerland,Insurance,2023-03-26,RegSys,High
287,Morales-Wilson,France,Technology,1997-04-22,ERP,Low
288,Chang-Frank,France,Technology,1997-08-12,PartnerFeed,Medium
289,White-Rodriguez,Germany,Insurance,2014-07-07,PartnerFeed,Medium
290,"Nelson, Brown and Moore",United Kingdom,Asset Management,2004-07-17,CRM,Low
291,"Wolf, Erickson and Ryan",Singapore,Insurance,2004-04-27,ERP,Low
292,Johnson Inc,United States,Banking,1998-11-11,RegSys,Medium
293,"Nelson, Campbell and Taylor",India,Technology,2011-06-05,CRM,Low
294,Alexander-Erickson,United States,Banking,2025-02-05,RegSys,Medium
295,"Kelly, Walters and Palmer",India,Asset Management,2018-03-08,PartnerFeed,High
296,Barrera-Berry,France,Technology,2011-03-13,ERP,Low
297,Savage Ltd,Japan,Technology,2009-12-08,PartnerFeed,High
298,"Liu, Wall and Odom",Singapore,Asset Management,2004-01-17,PartnerFeed,High
299,"Martin, Anderson and King",India,Asset Management,2024-03-07,ERP,Low
300,"Johnson, Higgins and Mcmillan",United States,Banking,2021-11-04,RegSys,High
301,Delacruz and Sons,Japan,Asset Management,2021-01-05,PartnerFeed,High
302,"Lloyd, Gonzalez and Jackson",United States,Banking,2004-01-09,ERP,Medium
303,Orr-Moore,Switzerland,Banking,2007-08-09,RegSys,Low
304,Shannon-Nunez,France,Asset Management,2001-03-27,ERP,Low
305,Simmons Inc,United Kingdom,Manufacturing,2001-06-16,CRM,Medium
306,Parks-Sutton,United States,Manufacturing,2008-09-05,PartnerFeed,Medium
307,Ellis-Wiley,United States,Insurance,2001-10-14,RegSys,High
308,"Patterson, Thomas and Hernandez",United States,Technology,2019-10-04,PartnerFeed,Medium
309,"Murray, Clayton and Bird",Singapore,Banking,2020-12-08,ERP,High
310,"Rodriguez, Hoffman and Hanson",Switzerland,Technology,2013-09-18,CRM,High
311,"Gray, Mcdowell and Decker",Switzerland,Banking,2006-02-04,RegSys,High
312,Anderson-Gates,France,Technology,2001-10-03,RegSys,Medium
313,Palmer-Banks,France,Insurance,2009-07-28,RegSys,Low
314,Morris Ltd,Switzerland,Manufacturing,2016-10-16,PartnerFeed,Low
315,"Gallagher, Burke and Johnson",United Kingdom,Insurance,2024-02-22,ERP,Low
316,"Walker, Smith and Hunt",Germany,Technology,1998-06-24,CRM,Low
317,Franklin-Morales,Japan,Insurance,2017-12-30,PartnerFeed,High
318,Lane Group,France,Technology,2012-10-03,CRM,Low
319,"Nguyen, Rowe and Freeman",United Kingdom,Manufacturing,2025-10-04,ERP,Medium
320,Kelly-Davis,Switzerland,Insurance,1998-09-02,RegSys,Low
321,Mullen-Moran,Japan,Banking,2016-07-10,ERP,High
322,Chapman-Moore,Singapore,Asset Management,2020-07-28,PartnerFeed,Low
323,Gonzalez-Shaw,Singapore,Banking,2009-08-24,PartnerFeed,Low
324,Woodard LLC,Singapore,Insurance,2017-08-11,RegSys,Low
325,Wilson-Jones,Germany,Technology,1997-06-28,PartnerFeed,Low
326,Parker-Barrera,France,Asset Management,2023-03-24,RegSys,Low
327,Benjamin-Patel,Japan,Asset Management,2001-06-11,CRM,High
328,Scott-Carter,France,Manufacturing,2004-08-16,CRM,Low
329,"Snyder, Mueller and Hickman",Singapore,Technology,2023-02-06,RegSys,High
330,Blair-White,France,Asset Management,2011-10-18,ERP,Low
331,Foster-Blevins,France,Manufacturing,2008-10-12,PartnerFeed,Low
332,Schneider-Gutierrez,United States,Asset Management,2006-06-04,PartnerFeed,Low
333,Hoffman-Adkins,Japan,Manufacturing,2016-01-29,RegSys,High
334,Arroyo PLC,United Kingdom,Insurance,2004-04-27,ERP,Medium
335,Wright-Baker,France,Manufacturing,2025-05-28,CRM,High
336,Riley Ltd,United States,Banking,2017-04-02,RegSys,High
337,Mccoy Ltd,Japan,Manufacturing,2003-11-19,RegSys,Low
338,Brown-Riley,Germany,Manufacturing,2022-09-09,PartnerFeed,Medium
339,Hunter PLC,France,Banking,2025-04-07,ERP,Low
340,"King, Olson and Richmond",United Kingdom,Insurance,2000-10-08,ERP,High
341,"Clark, Freeman and Brown",Switzerland,Manufacturing,2000-01-13,CRM,High
342,"Ramos, Dickerson and Cole",India,Asset Management,2011-06-10,PartnerFeed,Medium
343,Jackson Inc,United Kingdom,Technology,2014-07-23,PartnerFeed,Low
344,Garcia-Hall,France,Manufacturing,1996-06-22,RegSys,High
345,Johnson-Carroll,Singapore,Technology,2005-12-06,CRM,Medium
346,Hill LLC,Germany,Manufacturing,2001-07-14,ERP,Medium
347,"Figueroa, Wiggins and Le",Singapore,Technology,2023-05-03,ERP,Low
348,Taylor and Sons,United States,Manufacturing,2017-03-03,CRM,Low
349,Nelson-Wise,Japan,Manufacturing,2012-03-12,PartnerFeed,High
350,Medina LLC,United Kingdom,Banking,2012-06-19,ERP,Medium
351,Rios and Sons,Switzerland,Technology,2011-01-20,PartnerFeed,Medium
352,Morgan-Day,India,Insurance,2002-04-28,ERP,Medium
353,Moreno PLC,United Kingdom,Manufacturing,2021-01-14,ERP,Medium
354,Thornton-Long,France,Asset Management,2001-09-01,RegSys,Medium
355,"Williams, Obrien and Smith",Switzerland,Banking,2008-06-28,RegSys,Medium
356,Carlson Inc,Singapore,Technology,2014-07-30,PartnerFeed,Medium
357,"Cantrell, Little and Hall",Japan,Manufacturing,1998-12-05,ERP,Medium
358,Harmon-Christensen,Japan,Banking,2024-10-01,CRM,Medium
359,Lopez LLC,India,Manufacturing,2008-09-21,CRM,Low
360,Stevens-Stewart,Germany,Manufacturing,2007-01-29,PartnerFeed,Medium
361,Bennett-York,Switzerland,Insurance,2016-02-11,ERP,Low
362,"Diaz, Nguyen and Pacheco",India,Asset Management,2012-02-05,PartnerFeed,Medium
363,Frey-Miller,United Kingdom,Asset Management,2002-06-17,PartnerFeed,Medium
364,"Smith, Ho and Doyle",Germany,Insurance,2005-06-09,RegSys,Low
365,Diaz-Martinez,Singapore,Insurance,2024-04-10,PartnerFeed,Low
366,Williams Group,India,Technology,2023-08-24,ERP,High
367,"Moreno, Wiley and Fisher",United Kingdom,Asset Management,2002-02-12,ERP,Low
368,"Nelson, Bush and Thomas",United Kingdom,Technology,1997-06-13,ERP,High
369,Mercado and Sons,Germany,Asset Management,2004-11-15,PartnerFeed,High
370,"Conley, Roberts and Hoffman",Japan,Insurance,2017-11-14,PartnerFeed,High
371,Johnson and Sons,United Kingdom,Manufacturing,2010-12-19,PartnerFeed,Low
372,"Swanson, Parker and Russell",United States,Asset Management,2006-11-26,PartnerFeed,Low
373,"Hall, Wilkerson and Rangel",United Kingdom,Technology,1996-10-30,PartnerFeed,Medium
