entity_id,resolution_days,owner_team,status,sla_target
4589,5,Data Stewards,open,14
511,9,Platform Team,open,14
8612,0,Platform Team,open,14
7207,1,Data Stewards,open,5
890,16,Business Analysts,closed,3
2768,5,Business Analysts,closed,5
8156,6,Platform Team,closed,3
1791,8,Platform Team,open,14
975,7,Data Stewards,open,5
7773,3,Business Analysts,open,7
2999,4,Data Ops,open,7
4031,9,Data Stewards,closed,14
3689,6,Data Ops,closed,7
7261,2,Data Stewards,open,3
9847,2,Data Ops,closed,5
1088,5,Business Analysts,open,14
6363,8,Business Analysts,open,14
1365,1,Data Stewards,open,7
6349,1,Platform Team,open,7
1133,3,Platform Team,closed,14
4420,7,Data Ops,closed,3
5430,3,Business Analysts,closed,14
2335,14,Business Analysts,open,5
2601,4,Business Analysts,open,5
9442,4,Business Analysts,open,7
884,7,Business Analysts,open,7
1098,9,Data Stewards,open,7
8754,3,Business Analysts,closed,3
9329,6,Platform Team,closed,7
8980,8,Business Analysts,closed,14
4593,1,Data Stewards,open,5
1766,1,Data Ops,open,7
1624,6,Platform Team,closed,3
8124,16,Data Ops,open,5
7070,6,Data Ops,open,14
5730,7,Data Stewards,closed,3
5169,0,Data Stewards,closed,3
3701,5,Data Ops,open,3
4467,3,Platform Team,closed,5
3869,12,Data Stewards,closed,5
7402,1,Data Ops,open,5
9961,6,Platform Team,closed,14
9646,10,Business Analysts,closed,3
5676,1,Data Ops,open,5
3078,7,Data Ops,closed,3
2127,8,Business Analysts,closed,5
5523,4,Business Analysts,open,7
3912,9,Platform Team,closed,5
5837,7,Platform Team,closed,5
754,0,Business Analysts,open,7
2519,11,Platform Team,closed,5
6499,1,Platform Team,closed,14
7695,3,Data Ops,open,5
4685,8,Data Stewards,closed,5
6792,3,Platform Team,closed,5
475,4,Platform Team,closed,5
1080,8,Business Analysts,closed,3
79,12,Platform Team,open,5
5775,6,Platform Team,closed,7
4233,2,Data Stewards,closed,14
97,6,Business Analysts,closed,7
1160,6,Data Stewards,open,5
2609,0,Data Stewards,open,7
3962,2,Platform Team,open,5
8329,5,Data Stewards,closed,7
7935,3,Business Analysts,open,5
5245,4,Data Stewards,open,5
2817,5,Platform Team,open,14
1694,2,Data Ops,open,7
1547,1,Business Analysts,closed,5
5555,9,Data Stewards,closed,7
9060,8,Data Stewards,open,7
6768,7,Data Stewards,open,14
3966,2,Data Ops,closed,14
2101,1,Business Analysts,closed,3
797,2,Platform Team,closed,5
1757,10,Platform Team,open,7
4526,6,Business Analysts,closed,5
9980,5,Data Stewards,open,14
8407,1,Business Analysts,open,7
6428,2,Data Stewards,closed,7
8481,4,Data Stewards,open,3
6801,6,Data Ops,closed,7
8166,6,Platform Team,open,7
4863,0,Business Analysts,open,14
2320,3,Data Stewards,closed,7
4757,0,Data Stewards,open,3
6538,11,Business Analysts,open,14
735,8,Data Stewards,closed,7
882,0,Data Ops,closed,5
3356,10,Platform Team,closed,5
9802,3,Data Ops,closed,7
3506,9,Platform Team,closed,7
7425,4,Data Ops,closed,3
1976,7,Platform Team,closed,3
7937,9,Data Ops,open,7
8818,3,Data Stewards,open,5
4219,1,Data Ops,open,14
2727,1,Data Ops,open,14
9856,6,Business Analysts,open,14
8485,8,Platform Team,closed,14
453,12,Data Ops,open,14
8010,8,Data Ops,open,5
7252,5,Platform Team,closed,14
8854,6,Data Ops,open,3
4521,10,Business Analysts,open,3
4442,4,Platform Team,open,14
7008,6,Platform Team,closed,7
4326,0,Business Analysts,closed,5
7896,5,Business Analysts,closed,7
4414,6,Business Analysts,closed,5
4374,7,Platform Team,open,3
2663,4,Platform Team,open,7
8538,10,Data Ops,closed,7
3027,5,Data Ops,open,3
2699,0,Platform Team,open,5
4463,9,Platform Team,open,7
4400,2,Data Stewards,open,5
8285,12,Data Ops,open,3
9071,9,Business Analysts,closed,5
9633,7,Platform Team,open,5
8056,1,Business Analysts,open,7
1354,5,Data Ops,open,7
6856,3,Business Analysts,closed,5
8344,12,Data Ops,open,5
1001,6,Platform Team,closed,14
3401,7,Platform Team,open,3
2185,3,Data Stewards,closed,5
5930,4,Business Analysts,closed,5
3588,9,Business Analysts,closed,3
262,8,Platform Team,closed,14
4552,7,Data Stewards,open,5
8832,9,Business Analysts,open,3
9306,6,Data Stewards,closed,5
9906,8,Business Analysts,closed,3
5489,0,Data Ops,open,14
578,6,Data Stewards,closed,3
3036,5,Data Stewards,open,14
9496,8,Platform Team,closed,14
2533,2,Data Stewards,open,3
1477,1,Platform Team,closed,5
2470,1,Platform Team,closed,3
6492,2,Business Analysts,closed,3
7952,1,Data Stewards,open,7
7210,4,Business Analysts,open,7
8501,5,Data Stewards,closed,14
1621,4,Data Stewards,open,7
5537,6,Platform Team,closed,14
7779,7,Data Stewards,closed,3
9212,0,Data Stewards,open,7
5346,14,Data Ops,open,5
2998,2,Data Stewards,closed,14
5289,6,Platform Team,open,14
3800,1,Data Ops,closed,3
955,10,Business Analysts,closed,5
7142,9,Business Analysts,open,3
3679,7,Platform Team,closed,5
2446,5,Data Ops,closed,14
1721,3,Data Ops,open,14
3250,9,Business Analysts,open,5
3375,10,Platform Team,open,7
4104,12,Platform Team,open,3
8352,7,Business Analysts,open,14
7484,5,Data Ops,open,7
7459,5,Platform Team,closed,14
6555,5,Platform Team,open,3
6111,0,Data Ops,open,7
8223,4,Business Analysts,open,5
3848,6,Platform Team,open,14
3895,8,Data Stewards,open,5
2219,7,Data Stewards,closed,3
1203,5,Business Analysts,closed,7
120,3,Platform Team,open,7
3998,0,Data Ops,open,3
5819,3,Business Analysts,open,7
7067,9,Platform Team,closed,3
4479,5,Data Stewards,open,3
3950,5,Business Analysts,closed,5
733,7,Business Analysts,open,14
8500,2,Data Ops,open,14
802,0,Platform Team,open,3
5180,6,Business Analysts,open,7
5006,3,Business Analysts,open,3
7526,0,Data Ops,closed,7
154,4,Data Stewards,closed,5
2249,8,Platform Team,open,14
949,0,Data Stewards,closed,5
3638,2,Business Analysts,open,5
5783,10,Platform Team,closed,7
4699,6,Platform Team,closed,3
1954,8,Business Analysts,open,7
794,3,Data Ops,closed,5
1656,8,Business Analysts,open,5
3896,4,Data Ops,open,14
6394,1,Data Ops,closed,3
4367,2,Data Stewards,open,14
2113,8,Platform Team,closed,5
6695,1,Platform Team,open,5
556,0,Data Stewards,open,14
8897,9,Data Stewards,open,7
9886,7,Data Ops,open,5
8034,1,Business Analysts,closed,14
9547,0,Data Ops,open,14
429,3,Data Ops,closed,7
5105,1,Data Stewards,closed,14
5751,10,Platform Team,open,14
3428,0,Platform Team,open,7
7793,4,Data Stewards,closed,14
4734,2,Data Ops,closed,3
4822,1,Platform Team,open,5
6063,4,Business Analysts,open,3
7315,2,Data Stewards,closed,14
7101,5,Data Stewards,closed,7
990,4,Data Ops,closed,3
267,5,Data Ops,open,5
6290,4,Data Stewards,closed,14
658,0,Business Analysts,closed,7
4205,3,Data Stewards,closed,5
6979,10,Platform Team,open,5
8711,4,Data Ops,open,14
5713,8,Business Analysts,closed,3
6131,3,Data Ops,closed,5
9250,12,Data Stewards,closed,7
1856,2,Data Ops,closed,3
1323,5,Data Stewards,open,3
5789,4,Data Ops,closed,14
7633,17,Data Ops,open,3
8752,2,Business Analysts,open,14
4503,0,Platform Team,open,3
81,3,Data Ops,closed,3
8801,3,Business Analysts,closed,3
3808,2,Data Ops,closed,14
2560,1,Data Ops,closed,14
837,2,Data Ops,closed,5
5478,1,Data Stewards,closed,7
465,7,Data Ops,closed,5
3234,6,Platform Team,open,5
6137,7,Business Analysts,open,3
8026,7,Platform Team,closed,7
5379,4,Data Ops,closed,7
3362,7,Platform Team,open,3
5733,9,Business Analysts,closed,5
7819,3,Business Analysts,closed,5
652,3,Data Ops,closed,7
4234,6,Platform Team,open,14
9146,4,Data Ops,closed,7
278,6,Data Ops,closed,14
3619,4,Platform Team,closed,14
1457,10,Platform Team,open,5
1304,6,Data Stewards,open,3
5815,5,Business Analysts,open,5
6604,5,Business Analysts,open,7
5264,3,Data Stewards,closed,5
2572,9,Data Stewards,closed,5
2956,7,Business Analysts,closed,3
1054,4,Platform Team,open,3
8848,8,Platform Team,open,14
8403,8,Data Stewards,closed,3
6616,4,Data Stewards,open,14
8649,6,Data Stewards,closed,7
3834,3,Business Analysts,open,14
4727,11,Business Analysts,closed,14
6544,0,Platform Team,closed,5
4921,7,Business Analysts,closed,3
4931,0,Business Analysts,open,3
5851,1,Data Ops,open,3
5355,8,Data Stewards,closed,5
2006,4,Data Stewards,closed,14
5315,1,Platform Team,open,7
3261,2,Data Stewards,open,7
4831,6,Data Ops,closed,5
1069,12,Platform Team,closed,7
5681,11,Data Ops,open,7
1363,0,Data Ops,closed,3
9565,7,Data Ops,closed,14
4230,5,Business Analysts,open,7
9014,4,Data Stewards,closed,5
5117,0,Platform Team,open,14
5822,4,Business Analysts,open,3
2660,6,Data Ops,open,14
1482,1,Business Analysts,open,7
1699,18,Data Stewards,closed,5
4006,3,Data Stewards,closed,14
266,0,Business Analysts,open,3
8591,9,Data Stewards,open,7
6315,2,Data Ops,open,14
4785,6,Data Ops,closed,5
6346,4,Platform Team,open,7
2286,8,Business Analysts,open,7
9270,8,Data Stewards,open,14
1826,5,Business Analysts,closed,3
9478,0,Data Stewards,open,5
5083,2,Data Stewards,open,7
8641,14,Business Analysts,closed,7
9998,9,Platform Team,closed,7
9687,10,Business Analysts,open,7
9043,9,Platform Team,closed,5
3406,5,Data Ops,open,14
7768,1,Data Ops,closed,7
9859,7,Platform Team,open,3
8874,4,Data Stewards,closed,5
9837,2,Data Stewards,open,14
4136,15,Data Ops,open,5
2675,5,Platform Team,closed,14
230,8,Data Ops,open,5
1486,4,Business Analysts,open,5
1779,12,Data Stewards,closed,7
703,8,Platform Team,open,14
1346,5,Data Stewards,open,5
4208,4,Data Stewards,open,3
591,5,Data Ops,open,3
4026,11,Data Ops,closed,3
2234,6,Data Stewards,open,14
1236,8,Data Stewards,closed,3
2577,8,Data Ops,closed,14
2781,7,Data Stewards,open,3
7503,4,Platform Team,open,7
2985,4,Business Analysts,open,3
9325,6,Platform Team,open,14
9604,1,Business Analysts,closed,7
2026,7,Business Analysts,open,7
7450,1,Business Analysts,closed,7
4999,8,Platform Team,open,7
4528,0,Business Analysts,closed,5
8146,7,Platform Team,open,14
9365,8,Data Ops,closed,14
5031,10,Data Stewards,open,3
1271,6,Data Stewards,closed,5
5712,8,Data Ops,closed,7
5850,0,Business Analysts,open,7
982,10,Platform Team,open,7
9395,13,Data Ops,closed,7
5236,4,Platform Team,closed,3
902,4,Data Stewards,open,7
1135,1,Business Analysts,closed,7
4243,5,Platform Team,open,7
4519,8,Data Stewards,open,3
8870,7,Platform Team,open,14
2834,5,Business Analysts,closed,14
9858,13,Data Stewards,open,7
1411,0,Data Ops,closed,5
3037,4,Platform Team,open,5
9354,2,Platform Team,closed,3
2659,7,Platform Team,open,5
8343,5,Platform Team,closed,7
618,10,Platform Team,closed,7
7031,11,Business Analysts,open,3
3393,8,Data Ops,closed,7
501,1,Data Ops,open,7
6501,6,Business Analysts,closed,14
6375,3,Platform Team,closed,7
5462,1,Data Ops,open,14
9228,0,Business Analysts,closed,5
2928,2,Business Analysts,open,7
3666,1,Platform Team,open,3
3058,1,Data Ops,closed,3
1060,0,Business Analysts,open,14
1237,9,Platform Team,closed,7
4923,1,Data Ops,open,5
7653,8,Data Stewards,closed,3
573,5,Data Stewards,open,14
3632,9,Business Analysts,open,3
5518,5,Business Analysts,closed,14
2733,8,Platform Team,open,5
9794,8,Business Analysts,open,7
508,4,Platform Team,closed,5
8721,5,Platform Team,closed,5
7970,8,Data Ops,closed,7
839,13,Data Ops,closed,14
4874,2,Data Stewards,open,5
3860,2,Business Analysts,closed,14
7741,5,Business Analysts,closed,5
5804,1,Data Stewards,open,5
1078,3,Business Analysts,closed,7
7334,0,Platform Team,closed,7
1170,3,Platform Team,open,3
8688,5,Data Stewards,open,3
6475,4,Data Stewards,closed,14
4215,2,Data Ops,closed,14
5854,2,Data Ops,closed,3
7843,7,Platform Team,open,7
4937,2,Data Stewards,open,7
4682,0,Business Analysts,closed,5
4755,7,Data Stewards,closed,3
5106,1,Business Analysts,open,5
4438,7,Platform Team,closed,14
9493,3,Data Stewards,open,5
9106,15,Data Ops,open,3
5902,9,Business Analysts,closed,5
2627,2,Platform Team,closed,14
1423,6,Business Analysts,closed,5
6443,12,Business Analysts,closed,5
6990,9,Business Analysts,open,14
9653,4,Data Stewards,closed,14
2184,3,Data Ops,open,14
8675,5,Data Ops,open,14
1018,1,Business Analysts,closed,3
5644,5,Data Stewards,open,3
4672,13,Data Ops,closed,14
4301,7,Data Ops,closed,14
6931,4,Platform Team,open,3
3776,5,Business Analysts,open,3
2120,5,Platform Team,open,7
1068,5,Data Stewards,open,7
105,2,Platform Team,closed,14
382,4,Platform Team,closed,7
2474,0,Platform Team,open,5
1812,0,Platform Team,closed,14
8652,2,Platform Team,closed,7
7099,6,Data Ops,closed,3
692,7,Data Ops,open,5
3443,4,Business Analysts,closed,7
6671,7,Business Analysts,closed,7
9317,1,Data Ops,open,14
596,0,Data Ops,closed,7
9725,4,Data Stewards,closed,5
4277,4,Data Ops,closed,3
4117,4,Business Analysts,closed,7
6885,12,Data Ops,open,5
6641,1,Business Analysts,open,7
2455,0,Platform Team,closed,7
8574,1,Data Ops,open,5
7767,7,Business Analysts,closed,3
9432,10,Platform Team,closed,5
1312,0,Platform Team,open,7
4762,9,Business Analysts,open,14
7589,7,Business Analysts,open,5
3385,5,Data Stewards,open,5
7563,5,Business Analysts,closed,5
815,0,Platform Team,closed,3
1584,4,Platform Team,open,14
2773,0,Platform Team,open,5
775,8,Data Stewards,open,5
4993,11,Data Stewards,open,3
724,7,Platform Team,open,7
138,3,Business Analysts,closed,5
2305,4,Data Ops,open,3
8983,1,Platform Team,open,5
2626,2,Data Stewards,closed,5
3279,3,Platform Team,closed,14
5305,5,Platform Team,closed,5
6675,7,Data Stewards,open,3
2658,8,Data Ops,open,7
2568,5,Business Analysts,closed,5
7388,1,Data Stewards,closed,5
4061,10,Platform Team,open,7
4050,5,Data Ops,closed,5
761,0,Data Stewards,open,7
2495,1,Data Stewards,open,14
533,0,Platform Team,closed,7
5060,1,Data Ops,closed,5
9186,1,Platform Team,open,5
7034,1,Data Ops,open,3
2214,9,Business Analysts,open,14
5154,3,Business Analysts,closed,5
8634,12,Data Ops,open,3
8543,5,Business Analysts,closed,5
7866,5,Data Stewards,closed,3
2911,1,Business Analysts,open,14
8199,0,Data Stewards,closed,3
3744,6,Data Stewards,open,7
4158,7,Business Analysts,closed,5
7094,0,Data Ops,open,7
807,8,Data Ops,open,3
5986,4,Data Ops,closed,7
914,4,Business Analysts,closed,5
3872,5,Data Ops,closed,14
3607,4,Data Ops,closed,7
956,1,Data Stewards,closed,7
6,4,Data Ops,closed,7
2883,4,Business Analysts,open,14
2166,7,Data Ops,open,14
298,0,Business Analysts,open,3
8023,4,Data Ops,closed,14
7938,1,Data Ops,closed,14
8814,2,Platform Team,open,3
5768,5,Data Stewards,closed,7
4513,1,Data Stewards,closed,5
947,4,Data Ops,closed,14
1939,0,Data Ops,open,14
7844,5,Business Analysts,open,7
2485,5,Platform Team,closed,5
777,3,Business Analysts,closed,5
9350,1,Platform Team,closed,3
9085,5,Business Analysts,open,3
3832,2,Data Stewards,open,7
196,2,Data Stewards,closed,7
6420,8,Platform Team,closed,5
8091,7,Data Stewards,closed,7
8716,5,Data Stewards,open,14
2754,7,Data Stewards,open,5
9810,4,Platform Team,open,14
2412,2,Data Stewards,closed,5
3136,8,Data Ops,closed,7
3137,7,Platform Team,closed,7
7418,7,Platform Team,open,14
9553,4,Data Ops,closed,14
6074,1,Business Analysts,open,14
9444,4,Data Ops,open,7
4678,4,Data Stewards,open,3
5596,0,Business Analysts,closed,7
8439,1,Business Analysts,open,14
9966,5,Platform Team,closed,3
7530,8,Business Analysts,closed,7
48,2,Data Stewards,open,7
4237,2,Data Ops,closed,14
2801,3,Data Stewards,open,14
2741,1,Business Analysts,closed,14
7529,2,Platform Team,closed,14
457,3,Data Stewards,open,7
1707,13,Platform Team,open,14
6289,13,Platform Team,open,14
9070,1,Data Ops,open,3
6847,4,Business Analysts,closed,7
7709,6,Data Ops,closed,14
9209,5,Data Ops,open,5
1092,4,Data Stewards,closed,7
7024,0,Business Analysts,closed,7
9123,2,Data Ops,open,5
9587,2,Data Ops,open,3
7166,3,Platform Team,open,14
6127,5,Platform Team,closed,5
7557,1,Data Ops,open,14
2603,1,Business Analysts,open,3
678,5,Platform Team,closed,5
7411,2,Data Ops,open,14
2738,3,Data Ops,closed,3
5283,1,Data Ops,closed,3
5966,7,Business Analysts,open,14
8602,1,Platform Team,closed,5
6698,3,Business Analysts,open,3
4648,5,Data Stewards,closed,14
3546,6,Platform Team,open,14
2395,0,Data Stewards,closed,7
8886,6,Business Analysts,closed,7
1275,9,Platform Team,closed,3
2620,1,Platform Team,closed,5
822,6,Platform Team,open,7
3957,3,Business Analysts,closed,3
9028,7,Data Stewards,open,5
1402,12,Platform Team,open,7
2528,10,Data Ops,closed,5
4631,2,Platform Team,closed,5
5388,4,Data Stewards,closed,3
6126,4,Data Stewards,closed,7
296,1,Business Analysts,open,14
7599,9,Data Ops,open,3
5395,3,Business Analysts,open,3
6070,1,Data Stewards,closed,14
4972,10,Data Ops,open,3
9649,7,Business Analysts,open,3
8181,4,Platform Team,closed,7
5946,4,Data Ops,closed,7
2299,1,Business Analysts,closed,5
5422,2,Business Analysts,open,7
9379,13,Data Ops,open,5
2378,7,Platform Team,open,7
2408,4,Platform Team,closed,7
54,7,Data Stewards,open,7
9871,3,Data Ops,closed,3
847,8,Data Ops,closed,5
1320,4,Platform Team,open,7
4692,10,Data Ops,open,3
3531,2,Data Stewards,open,5
5810,4,Platform Team,closed,5
8214,10,Data Ops,open,3
3552,4,Platform Team,open,14
917,1,Platform Team,closed,7
6941,4,Data Ops,open,14
5575,0,Data Ops,closed,14
829,6,Platform Team,open,14
4246,0,Business Analysts,closed,7
342,9,Business Analysts,open,14
1141,5,Data Ops,open,3
9393,4,Data Stewards,closed,5
1079,4,Data Stewards,open,5
4495,8,Data Stewards,open,3
5275,8,Business Analysts,open,14
6159,0,Business Analysts,closed,14
7329,4,Data Stewards,closed,5
2332,4,Data Ops,open,3
4605,7,Data Ops,open,5
6436,11,Platform Team,open,5
6528,5,Business Analysts,open,5
1769,4,Platform Team,closed,7
6328,0,Platform Team,open,5
5485,12,Data Stewards,closed,14
9770,3,Data Stewards,closed,5
1700,5,Data Ops,closed,7
8203,9,Data Ops,closed,14
4161,4,Platform Team,open,3
4804,6,Business Analysts,closed,7
6217,5,Data Stewards,closed,3
3919,5,Data Ops,closed,5
7288,9,Data Ops,open,7
6647,3,Data Ops,open,14
6468,7,Data Ops,open,7
3214,4,Business Analysts,closed,3
6427,4,Platform Team,open,5
9962,4,Data Ops,closed,3
8654,6,Platform Team,closed,3
9460,4,Business Analysts,closed,7
151,8,Data Stewards,closed,7
6760,9,Data Stewards,open,7
4973,1,Platform Team,open,3
7619,1,Data Stewards,open,5
5145,8,Business Analysts,closed,14
1911,2,Data Ops,closed,3
2203,2,Data Stewards,closed,14
1230,1,Data Ops,open,3
6189,4,Business Analysts,closed,7
3188,13,Platform Team,closed,5
2212,1,Platform Team,closed,7
760,13,Data Stewards,open,14
3154,3,Data Stewards,open,3
7921,9,Data Ops,closed,5
6919,4,Data Ops,closed,3
4881,1,Data Ops,closed,14
7585,2,Business Analysts,closed,3
7749,3,Data Stewards,closed,7
8961,1,Data Ops,closed,3
7981,3,Data Stewards,closed,3
6771,10,Platform Team,open,3
3602,0,Business Analysts,closed,5
9099,1,Data Ops,open,14
8558,8,Data Stewards,open,7
7435,3,Data Ops,closed,14
4278,1,Data Stewards,open,14
8928,10,Platform Team,open,14
4859,1,Business Analysts,closed,14
7474,4,Data Ops,closed,5
4109,0,Data Ops,open,5
5167,12,Data Ops,open,14
9528,2,Data Stewards,closed,5
7512,1,Business Analysts,open,3
2868,4,Platform Team,open,14
5805,13,Data Ops,closed,7
207,6,Platform Team,open,7
6075,0,Business Analysts,closed,5
5802,6,Data Ops,open,5
3086,4,Data Ops,closed,5
2837,8,Data Ops,open,7
5990,1,Data Ops,open,14
7671,9,Platform Team,open,3
2715,4,Platform Team,open,7
364,4,Platform Team,open,5
2841,8,Data Ops,closed,14
1030,3,Business Analysts,closed,7
5741,6,Data Ops,open,3
3659,6,Business Analysts,open,7
2373,4,Data Stewards,closed,14
2423,0,Platform Team,closed,7
8330,3,Data Ops,closed,14
8669,8,Data Ops,closed,14
1533,8,Data Ops,open,14
4958,10,Data Stewards,open,7
4427,6,Data Stewards,closed,3
4541,11,Platform Team,open,5
5613,4,Data Stewards,closed,7
527,2,Platform Team,open,3
7717,2,Business Analysts,open,7
6714,5,Business Analysts,open,3
8423,6,Business Analysts,open,14
7433,3,Data Ops,open,14
5700,8,Data Ops,closed,7
5477,0,Platform Team,closed,3
1454,11,Data Ops,closed,14
3464,1,Data Stewards,closed,14
9607,4,Platform Team,closed,14
1784,7,Platform Team,closed,7
8326,10,Data Stewards,closed,14
6812,7,Business Analysts,closed,3
6606,1,Data Ops,open,7
8393,6,Business Analysts,closed,3
1664,2,Data Ops,open,5
7228,7,Platform Team,open,7
9038,10,Data Ops,open,7
2535,5,Platform Team,closed,5
6484,9,Platform Team,open,5
7786,2,Platform Team,closed,14
1081,6,Platform Team,closed,5
6102,8,Platform Team,open,3
53,7,Data Ops,closed,7
2454,12,Platform Team,closed,3
9207,2,Business Analysts,open,5
9569,3,Platform Team,open,7
3851,6,Business Analysts,open,14
3837,7,Data Stewards,closed,3
8480,1,Data Stewards,open,3
4750,12,Data Ops,open,14
2285,3,Data Ops,open,7
5842,9,Data Stewards,open,5
4132,9,Platform Team,open,7
6252,1,Platform Team,closed,5
7995,12,Data Ops,closed,14
8684,1,Data Stewards,open,5
2869,6,Data Stewards,closed,3
3083,2,Data Ops,open,14
7480,0,Platform Team,closed,3
1056,0,Business Analysts,open,5
843,9,Data Stewards,open,3
9195,4,Platform Team,closed,7
7087,2,Platform Team,open,14
2132,0,Data Ops,closed,5
6642,5,Business Analysts,open,5
8699,5,Data Stewards,closed,3
9482,1,Business Analysts,closed,3
6853,5,Data Ops,open,14
6788,3,Business Analysts,closed,14
8901,1,Platform Team,closed,14
1020,7,Data Stewards,open,14
7092,4,Data Stewards,closed,7
8158,13,Business Analysts,open,7
3768,9,Business Analysts,closed,3
8708,4,Platform Team,closed,14
2701,2,Data Stewards,closed,7
8099,0,Business Analysts,open,3
4611,0,Data Ops,closed,14
3775,2,Data Ops,closed,7
1590,3,Platform Team,closed,7
6334,6,Platform Team,open,5
3662,9,Business Analysts,closed,3
5593,2,Data Ops,open,7
6437,4,Platform Team,closed,7
4553,0,Business Analysts,open,5
8527,6,Platform Team,closed,7
752,8,Business Analysts,closed,5
7638,7,Business Analysts,closed,3
7227,9,Platform Team,open,5
2966,2,Platform Team,closed,7
4545,4,Business Analysts,open,7
9093,7,Business Analysts,closed,7
8293,3,Data Ops,open,3
5251,5,Data Stewards,closed,3
6435,14,Data Ops,closed,3
8671,4,Platform Team,open,5
8565,3,Business Analysts,closed,5
6575,11,Platform Team,open,7
8769,8,Data Ops,open,3
407,5,Business Analysts,closed,7
92,2,Business Analysts,closed,14
7372,1,Data Ops,closed,5
2934,6,Business Analysts,open,3
2748,0,Data Stewards,closed,5
2878,4,Data Stewards,open,5
8824,0,Data Ops,open,5
2851,6,Data Stewards,open,5
673,4,Data Stewards,closed,5
6553,2,Business Analysts,closed,7
7306,4,Platform Team,open,7
5756,10,Business Analysts,closed,3
1337,3,Business Analysts,open,3
8395,0,Platform Team,open,7
5747,0,Platform Team,open,7
2208,6,Data Ops,open,3
6207,1,Data Ops,open,3
362,4,Platform Team,open,14
8154,0,Business Analysts,closed,14
6324,1,Business Analysts,open,3
5314,3,Data Ops,open,5
2442,4,Data Stewards,closed,5
649,4,Data Stewards,closed,14
3115,12,Data Ops,open,3
1490,13,Business Analysts,closed,14
6419,2,Business Analysts,closed,3
8274,3,Data Stewards,open,7
6889,1,Data Stewards,closed,5
6498,7,Data Stewards,open,3
8211,1,Platform Team,closed,5
3681,7,Data Ops,open,14
2098,2,Data Ops,open,3
7426,10,Data Ops,closed,7
187,1,Data Stewards,open,3
3408,4,Business Analysts,open,7
6221,3,Data Stewards,open,5
3074,9,Data Ops,closed,5
5893,9,Data Ops,open,7
1712,5,Platform Team,closed,3
1771,1,Business Analysts,closed,3
9828,10,Data Ops,closed,7
2778,5,Data Ops,open,3
8308,4,Business Analysts,closed,5
7724,3,Data Ops,open,3
3031,2,Data Stewards,open,3
3674,2,Platform Team,closed,14
8861,3,Platform Team,closed,7
9074,1,Data Stewards,open,5
1888,0,Platform Team,open,5
9544,1,Data Stewards,open,14
3549,2,Data Stewards,open,3
300,3,Data Stewards,open,5
